timestamp,tool,filesize(mb),os,ram(gb),drive type,process(mb/s),researcher
4.217763,pandas,109.39399999999999,windows,8,ssd nvme,25.936,m.poruchikov
4.217811,pandas,109.39399999999999,windows,8,ssd nvme,25.936,m.poruchikov
4.233336,pandas,109.39399999999999,windows,8,ssd nvme,25.841,m.poruchikov
8.701091,pandas,219.851,windows,8,ssd nvme,25.267,m.poruchikov
8.403839999999999,pandas,219.851,windows,8,ssd nvme,26.161,m.poruchikov
8.3887,pandas,219.851,windows,8,ssd nvme,26.208,m.poruchikov
9.138484,pandas,219.851,windows,8,ssd nvme,24.058,m.poruchikov
9.263457,pandas,219.851,windows,8,ssd nvme,23.733,m.poruchikov
22.166688,pandas,551.203,windows,8,ssd nvme,24.866,m.poruchikov
21.479349,pandas,551.203,windows,8,ssd nvme,25.662,m.poruchikov
21.370001000000002,pandas,551.203,windows,8,ssd nvme,25.793,m.poruchikov
21.354244,pandas,551.203,windows,8,ssd nvme,25.812,m.poruchikov
21.229326,pandas,551.203,windows,8,ssd nvme,25.964,m.poruchikov
42.927524,pandas,1113.011,windows,8,ssd nvme,25.928,m.poruchikov
41.693411,pandas,1113.011,windows,8,ssd nvme,26.695,m.poruchikov
41.490328000000005,pandas,1113.011,windows,8,ssd nvme,26.826,m.poruchikov
41.412194,pandas,1113.011,windows,8,ssd nvme,26.876,m.poruchikov
41.334117,pandas,1113.011,windows,8,ssd nvme,26.927,m.poruchikov
107.021367,pandas,2236.616,windows,8,ssd nvme,20.899,m.poruchikov
90.963091,pandas,2236.616,windows,8,ssd nvme,24.588,m.poruchikov
96.493043,pandas,2236.616,windows,8,ssd nvme,23.179,m.poruchikov
94.153328,pandas,2236.616,windows,8,ssd nvme,23.755,m.poruchikov
97.555298,pandas,2236.616,windows,8,ssd nvme,22.927,m.poruchikov
362.242894,pandas,4483.807,windows,8,ssd nvme,12.378,m.poruchikov
361.071763,pandas,4483.807,windows,8,ssd nvme,12.418,m.poruchikov
371.75676200000004,pandas,4483.807,windows,8,ssd nvme,12.061,m.poruchikov
